scientificName,decimalLatitude,decimalLongitude,year,minimumDepthInMeters,maximumDepthInMeters,aphiaID,id,depth
Acanthephyra acanthitelsonis,-23.0333,12.75,1984,1007,1007,240809,f269bb4c-513f-4ef8-ad2b-45b9d2835d37,1007
Acanthephyra acanthitelsonis,18.6450004578,-24.2816495895,1972,0,1000,240809,f454d9c3-cde7-4c65-939d-353cfd35b53e,500
Acanthephyra acanthitelsonis,11.6169996262,-65.5329971313,1973,1200,1200,240809,f4a51004-48be-48d0-bc86-0e19dd32878e,1200
Acanthephyra acanthitelsonis,-24.6256,6.528,2008,1041,1084,240809,f54d1115-f0cd-412e-998d-9a9934bab1a0,1062.5
Acanthephyra acanthitelsonis,-24.804,6.4154,2008,889,890,240809,f5db7328-27a4-4348-9f19-5530bd78a0e1,889.5
Acanthephyra acanthitelsonis,-4.15779995918,-12.4050498009,2009,0,1250,240809,f6c5544c-87ba-44e7-a685-8d12fac64346,625
Acanthephyra acanthitelsonis,-5,9,2004,3230,3230,240809,f8e18f5c-ab88-4db9-b715-67fb7f3a1fed,3230
Acanthephyra acanthitelsonis,10.6167001724,-19.8225002289,1968,1060,1300,240809,f9bc2d04-11fb-470e-bba8-83c3de96b8bd,1180
Acanthephyra acanthitelsonis,-18.5384998321533,11.2165002822876,2005,1190,1190,240809,fc4d273e-8298-494c-8410-ed6267a4636b,1190
Acanthephyra acanthitelsonis,-5,11.3666666667,NA,704,704,240809,fcb3e0ce-578b-4e63-b0cc-a2c2e96ef30a,704
Acanthephyra acanthitelsonis,20.430393219,-92.7973098755,NA,1000,4000,240809,fe920eb0-2d76-4bee-ae7b-ff358d08f7bb,2500
Acanthephyra acanthitelsonis,8.9329996109,-46.5999984741,1973,475,0,240809,ff651797-8ebf-4fb2-90dd-0a53346c53e1,237.5
